fire_id,a,b,ha,yr
3872,28.187646865844727,22.969629287719727,0.05,2024
3873,35.67638397216797,70.56346130371094,0.05,2024
3874,3.294715166091919,18.913061141967773,0.05,2024
3875,83.69603729248047,71.79220581054688,0.08,2024
3876,56.7055549621582,68.80433654785156,2.0,2024
3877,53.165252685546875,61.613460540771484,0.39,2024
3878,27.77080535888672,6.048027992248535,0.1,2024
3879,52.49656295776367,91.48046112060547,0.15,2024
3882,51.899208068847656,74.09123992919922,0.5,2024
3883,,,0.15,2024
3884,4.668036937713623,9.416937828063965,2.5,2024
3887,,,0.07,2024
3888,33.09718704223633,72.69205474853516,2.0,2024
3889,6.750616073608398,18.48509979248047,0.03,2024
3890,70.62335968017578,65.98363494873047,0.02,2024
3891,0.1176198348402977,11.65852165222168,0.2,2024
3892,31.076412200927734,73.74246215820312,0.05,2024
3893,22.58681869506836,4.306465148925781,3.5,2024
3895,75.65737915039062,64.24479675292969,0.8,2024
3897,89.65176391601562,94.34517669677734,0.03,2024
3898,0.713919997215271,0.48243603110313416,3.85,2024
3902,1.6334161758422852,5.070356845855713,0.04,2024
3903,12.42460823059082,29.221487045288086,0.01,2024
3904,46.23414993286133,20.21808624267578,0.3,2024
3908,94.43053436279297,65.3244400024414,0.2,2024
3909,23.430776596069336,47.28308868408203,0.02,2024
3910,19.287443161010742,17.1989688873291,0.5,2024
3911,16.812541961669922,54.27120590209961,0.01,2024
3912,36.60794448852539,22.684385299682617,0.02,2024
3913,15.320180892944336,8.10451889038086,0.03,2024
3914,84.69049835205078,10.738500595092773,0.06,2024
3915,27.689172744750977,64.84370422363281,0.06,2024
3916,,,2.0,2024
3917,3.217885971069336,17.649024963378906,0.1,2024
3918,58.7890739440918,61.75366973876953,0.05,2024
3919,16.400226593017578,72.96906280517578,0.1,2024
3921,26.761198043823242,57.87995529174805,1.0,2024
3922,,,0.83,2024
3923,7.056025981903076,13.367158889770508,0.1,2024
3924,7.954712390899658,20.46758460998535,0.03,2024
3925,63.47454833984375,47.31129455566406,0.01,2024
3926,4.948927402496338,6.085926055908203,0.03,2024
3932,,,0.99,2024
3933,30.581287384033203,42.26255416870117,0.15,2024
3934,15.993584632873535,9.83983325958252,1.2,2024
3935,1.7733101844787598,2.681957483291626,0.6,2024
3936,,,0.2,2024
3937,12.434333801269531,10.835234642028809,0.3,2024
3938,0.17869283258914948,0.45331549644470215,0.1,2024
3940,83.65081787109375,92.09264373779297,0.03,2024
3941,50.00658416748047,73.02275848388672,0.01,2024
3942,23.11237144470215,11.875683784484863,0.03,2024
3944,1.0799496173858643,0.6580733060836792,0.02,2024
3946,65.02433776855469,64.09026336669922,0.33,2024
3947,19.786985397338867,48.053382873535156,0.33,2023
3948,,,0.1,2023
3950,49.79924774169922,33.25082015991211,0.04,2023
3953,43.91349792480469,97.26910400390625,0.01,2023
3954,89.29295349121094,93.79373931884766,0.2,2023
3955,56.491485595703125,80.94976806640625,0.03,2023
3956,11.759603500366211,64.79256439208984,2.0,2023
3959,0.7485449910163879,3.4689714908599854,0.01,2023
3960,7.707076549530029,4.109889030456543,0.06,2023
3961,8.791760444641113,7.139366626739502,0.02,2023
3962,27.847442626953125,1.4304287433624268,0.01,2023
3964,25.1839656829834,38.40682601928711,1.0,2023
3965,50.09429168701172,24.864315032958984,0.02,2023
3967,19.532407760620117,52.56766891479492,0.03,2023
3969,0.001069638878107071,0.7829756140708923,0.13,2023
3970,49.63361358642578,58.90621566772461,0.5,2023
3972,0.12585103511810303,0.07187670469284058,0.04,2023
3974,3.2045252323150635,2.180081844329834,0.03,2023
3975,28.229373931884766,47.90167999267578,0.05,2023
3978,43.62685012817383,19.017173767089844,0.01,2023
3980,,,0.01,2023
3981,22.786865234375,0.464459627866745,0.1,2023
3983,25.744874954223633,40.83830261230469,0.01,2023
3984,39.113582611083984,41.13154602050781,0.5,2023
3985,,,0.01,2023
4024,90.848388671875,95.4778060913086,0.04,2023
4025,20.287559509277344,30.047229766845703,3.0,2023
4026,1.540993571281433,35.958839416503906,1.93,2023
4027,36.78173828125,67.00480651855469,0.3,2023
4028,18.368621826171875,34.638179779052734,0.06,2023
4029,12.227296829223633,18.094947814941406,0.16,2023
4030,,,0.03,2023
4031,6.038796901702881,31.19325828552246,0.01,2023
4032,8.58522891998291,52.0489387512207,0.1,2023
4033,98.20962524414062,81.56788635253906,0.01,2023
4035,18.674440383911133,14.75539493560791,0.01,2023
4036,91.86972045898438,85.36576843261719,0.27,2023
4037,7.7574052810668945,12.024125099182129,1.0,2023
4038,23.25961685180664,61.980430603027344,1.0,2023
4039,16.416030883789062,43.89826965332031,0.5,2023
4042,9.341914176940918,22.197412490844727,0.02,2023
4043,52.007591247558594,21.678104400634766,0.03,2023
4044,68.81090545654297,40.859771728515625,47.0,2023
4045,0.7943941354751587,3.361682891845703,40.0,2023
4046,28.61563491821289,44.01211929321289,2.0,2023
4047,54.197811126708984,87.18717193603516,0.08,2023
4055,14.34874439239502,38.50449752807617,8.0,2023
4056,0.8810797333717346,7.597199440002441,1.7,2023
4057,,,0.1,2023
4058,0.521723747253418,6.107173442840576,0.15,2023
4059,30.302915573120117,59.9071159362793,0.3,2023
4064,54.91721725463867,21.24033546447754,0.5,2023
4065,51.023223876953125,24.97132682800293,0.2,2023
4066,11.485784530639648,13.912750244140625,0.03,2023
4067,52.49699783325195,13.350065231323242,0.2,2023
4068,17.213685989379883,22.5835018157959,0.03,2023
4069,9.103402137756348,8.435060501098633,0.1,2023
4071,63.15543746948242,81.9096450805664,0.02,2023
4072,46.3576545715332,56.49651336669922,0.15,2023
4073,1.6949061155319214,8.813029289245605,0.3,2023
4074,2.3531272411346436,14.434463500976562,0.5,2023
4078,52.686126708984375,84.63238525390625,0.2,2023
4079,8.123157501220703,8.275240898132324,0.1,2023
4080,61.72231674194336,94.9166259765625,0.2,2023
4081,42.27877426147461,66.68606567382812,0.03,2023
4087,13.163296699523926,1.315233826637268,0.8,2023
4088,17.974950790405273,38.81022262573242,0.02,2023
4089,26.810083389282227,12.982087135314941,0.1,2023
4090,24.540964126586914,60.687042236328125,0.01,2023
4092,0.06815812736749649,17.32285499572754,0.02,2023
4095,53.7115478515625,46.748348236083984,0.8,2023
4096,7.97727632522583,20.600608825683594,0.03,2023
4099,0.391649454832077,8.882020950317383,0.01,2023
4100,,,0.01,2023
4101,41.91504669189453,55.76679229736328,0.13,2023
4103,1.5271481275558472,42.9290885925293,2.5,2023
4104,1.7193447351455688,25.83080291748047,0.66,2023
