fold,test_year,prow,pcol,year,month,day,hour,sample_type,y_true_t1,y_prob_t1,y_true_t2,y_prob_t2,y_true_t3,y_prob_t3
1,2021,731,1361,2021,3,11,12,pre_ignition,0,0.1639808,1,0.18885669,0,0.18366376
1,2021,731,1361,2021,3,11,11,pre_ignition,0,0.07611773,0,0.112309,1,0.1361531
1,2021,1138,1099,2021,3,10,17,pre_ignition,1,0.03422921,0,0.025785966,0,0.017058944
1,2021,1138,1099,2021,3,10,16,pre_ignition,0,0.049484245,1,0.035928812,0,0.02293593
1,2021,1138,1099,2021,3,10,15,pre_ignition,0,0.058972202,0,0.0434668,1,0.027823651
1,2021,546,1107,2021,3,10,11,pre_ignition,1,0.03554742,0,0.055671185,0,0.07676906
1,2021,546,1107,2021,3,10,10,pre_ignition,0,0.023856828,1,0.038984716,0,0.059361197
1,2021,546,1107,2021,3,10,9,pre_ignition,0,0.021300644,0,0.03514176,1,0.05478742
1,2021,1060,1175,2021,3,9,14,pre_ignition,1,0.06964805,0,0.061818995,0,0.047532488
1,2021,1060,1175,2021,3,9,13,pre_ignition,0,0.06483863,1,0.067035824,0,0.056923386
1,2021,1060,1175,2021,3,9,12,pre_ignition,0,0.054233305,0,0.064082615,1,0.060274858
1,2021,1102,1492,2021,2,28,12,pre_ignition,1,0.03359104,0,0.038864933,0,0.034841314
1,2021,1102,1492,2021,2,28,11,pre_ignition,0,0.02163,1,0.028152755,0,0.029185466
1,2021,1102,1492,2021,2,28,10,pre_ignition,0,0.010609714,0,0.015083009,1,0.018480023
1,2021,643,1161,2021,2,28,8,pre_ignition,1,0.03118087,0,0.050386388,0,0.07607863
1,2021,643,1161,2021,2,28,7,pre_ignition,0,0.02654913,1,0.043538455,0,0.06737705
1,2021,643,1161,2021,2,28,6,pre_ignition,0,0.024397608,0,0.040026493,1,0.061349064
1,2021,607,1064,2021,2,27,14,pre_ignition,1,0.2561583,0,0.23721963,0,0.18863986
1,2021,607,1064,2021,2,27,13,pre_ignition,0,0.3095238,1,0.29321983,0,0.24803746
1,2021,607,1064,2021,2,27,12,pre_ignition,0,0.2909077,0,0.29139933,1,0.27372047
1,2021,664,1133,2021,2,27,14,pre_ignition,1,0.16239327,0,0.15797026,0,0.1307654
1,2021,664,1133,2021,2,27,13,pre_ignition,0,0.14706846,1,0.15018834,0,0.13339445
1,2021,664,1133,2021,2,27,12,pre_ignition,0,0.13099326,0,0.13962702,1,0.13314375
1,2021,811,1012,2021,2,27,13,pre_ignition,1,0.14049879,0,0.11564856,0,0.0756131
1,2021,811,1012,2021,2,27,12,pre_ignition,0,0.12426986,1,0.10410257,0,0.07063481
1,2021,811,1012,2021,2,27,11,pre_ignition,0,0.073188715,0,0.06198638,1,0.045254268
1,2021,675,1047,2021,2,27,11,pre_ignition,1,0.17535244,0,0.17233276,0,0.1463935
1,2021,675,1047,2021,2,27,10,pre_ignition,0,0.11421057,1,0.13386953,0,0.13539194
1,2021,675,1047,2021,2,27,9,pre_ignition,0,0.04978518,0,0.06914616,1,0.08822512
1,2021,539,1071,2021,2,26,12,pre_ignition,1,0.26754388,0,0.2745355,0,0.24333383
1,2021,539,1071,2021,2,26,11,pre_ignition,0,0.12273077,1,0.15623602,0,0.16853617
1,2021,539,1071,2021,2,26,10,pre_ignition,0,0.05026856,0,0.07388209,1,0.09851443
1,2021,600,1224,2021,2,26,12,pre_ignition,1,0.18413666,0,0.20907149,0,0.19395037
