config,use_seq,n_static,fold,test_year,val_year,horizon_h,plgbm,n_test,n_pos_test,auroc,auprc,f1,csi,pod,far,threshold,epochs_run,best_epoch,stop_reason,fold_sec
C_seq_only,True,6,1,2021,2022,3,P_lgbm_r20,28366,314,0.8636060101304129,0.08507812651407742,0.16353591160220995,0.08904933814681107,0.2356687898089172,0.8747884940778342,0.2951864004135132,45,30,early_stop,9.0
C_seq_only,True,6,2,2022,2023,1,P_lgbm_r20,35827,7978,0.9344824560226176,0.844672045751017,0.7663634066211776,0.6212229847382976,0.7602155928804212,0.22738853503184714,0.28292006254196167,43,28,early_stop,7.3
C_seq_only,True,6,2,2022,2023,2,P_lgbm_r20,35827,7296,0.9431477119070854,0.8531108724703129,0.7805804176837537,0.6401245551601423,0.7889254385964912,0.22758990874932905,0.2637539207935333,43,28,early_stop,7.3
C_seq_only,True,6,2,2022,2023,3,P_lgbm_r20,35827,6735,0.9457153794464704,0.8471627369191821,0.7681730287187567,0.6236046511627907,0.7962880475129919,0.25802434975096844,0.2243533581495285,43,28,early_stop,7.3
C_seq_only,True,6,3,2023,2024,1,P_lgbm_r20,30380,2589,0.8849841125682112,0.40568642276999517,0.46505082095387024,0.3029747351263244,0.5743530320587099,0.6093011035207567,0.15613359212875366,108,93,early_stop,21.7
C_seq_only,True,6,3,2023,2024,2,P_lgbm_r20,30380,2185,0.8903852339237648,0.3843126832316252,0.4482269503546099,0.28884826325411334,0.5784897025171625,0.6341534008683068,0.13347458839416504,108,93,early_stop,21.7
C_seq_only,True,6,3,2023,2024,3,P_lgbm_r20,30380,1861,0.9000250292710013,0.3669734791231307,0.43783783783783786,0.28027681660899656,0.5658248253627082,0.6429298067141404,0.12599870562553406,108,93,early_stop,21.7
C_seq_only,True,6,4,2024,2025,1,P_lgbm_r20,25369,401,0.8289158252238675,0.07643438105413539,0.16286644951140064,0.08865248226950355,0.3740648379052369,0.8959056210964608,0.17233775556087494,79,64,early_stop,15.3
C_seq_only,True,6,4,2024,2025,2,P_lgbm_r20,25369,261,0.8043849802569375,0.04575210057525995,0.10658682634730539,0.056293485135989876,0.34099616858237547,0.9368346344925479,0.13678158819675446,79,64,early_stop,15.3
C_seq_only,True,6,4,2024,2025,3,P_lgbm_r20,25369,172,0.7799862663606132,0.02615236290545017,0.06927710843373494,0.0358814352574103,0.13372093023255813,0.9532520325203252,0.19940663874149323,79,64,early_stop,15.3
C_seq_only,True,6,5,2025,2021,1,P_lgbm_r20,26556,1734,0.9044924894080919,0.4534793809430646,0.4765533411488863,0.3128126202385533,0.4688581314878893,0.5154946364719905,0.3447004556655884,99,84,early_stop,20.3
C_seq_only,True,6,5,2025,2021,2,P_lgbm_r20,26556,1466,0.910828928544824,0.44866955642270756,0.4629803186504217,0.30121951219512194,0.5054570259208732,0.5729106628242074,0.29587075114250183,99,84,early_stop,20.4
C_seq_only,True,6,5,2025,2021,3,P_lgbm_r20,26556,1262,0.9190530768620608,0.4485940956323155,0.4682681964861958,0.3057116104868914,0.5174326465927099,0.5723641126391618,0.28064462542533875,99,84,early_stop,20.4
