date,hour,top1_pop,top5_pop,top1_pop_day,top5_pop_day,top1_pop_old,top5_pop_old,top5_old_house,wui_top5_cells,max_prob,mean_prob,top10_pop
2023-02-20,8,4711853.9135738015,15074162.042531252,4177030.04727119,12115821.812263448,830104.5750698685,2583463.033040797,1119428.4152462597,5887,0.2617162764072418,0.011161953210830688,36295.66557762027
2023-02-21,8,1884535.8308421,5527071.308690749,1784260.5498858497,4788806.055792337,346790.1742769195,1048748.4460408664,440479.40553599,4582,0.31906959414482117,0.01648605801165104,31995.979059815407
2023-02-22,8,2993413.340848461,9628895.701450318,2416740.4160608877,7482504.144682905,567085.7700880896,1721492.9609034092,768040.2055180441,5072,0.32764753699302673,0.02808108739554882,32266.94595900178
2023-02-23,8,1073552.7551576346,7890849.159444004,776361.2101320119,5484966.564591738,215375.39119087043,1471376.0056411005,638952.7121814602,4709,0.37487226724624634,0.022572971880435944,34179.03659337759
2023-02-24,8,2148703.9182026535,6148912.508921348,1781320.4241767484,4964246.293908584,434928.3543402982,1192534.7255815482,588772.2974656177,4781,0.36175650358200073,0.025425108149647713,26269.5471072793
2023-02-25,8,2935780.1963930354,7444431.807516828,2402348.4184406754,5944353.106278567,586103.938613421,1449426.6062450404,665907.0224173462,4276,0.3314613401889801,0.021668246015906334,24914.068621903658
2023-02-26,8,1541740.149359107,6236170.048236221,1137601.4915875886,4702890.172713216,293218.4090587135,1195125.2681145892,558757.4363857743,4262,0.31574174761772156,0.0246913842856884,26733.34489789605
2023-02-27,8,2330076.3691179454,7790633.433009662,1835533.7709190082,5929394.76692929,425360.3675454815,1445037.4892860637,709167.9292893617,3997,0.33303362131118774,0.0332660898566246,26999.89722469449
2023-02-28,8,140052.1420470029,2205679.8119487613,108079.77906538056,1806082.3250517098,30858.775529600294,426111.26682954404,187757.5076375779,1988,0.3540631830692291,0.0359710231423378,15464.68540135026
2023-03-01,8,781135.4711606354,3765352.641370006,637885.3454239572,3329519.7087247022,153197.64405107487,694843.7977443803,313122.92880063306,2978,0.3411000370979309,0.02949187532067299,24597.44244325161
2023-03-02,8,3387673.6833041683,10546592.582687631,2863131.224554957,9172553.97704723,646295.2044287178,1931213.4205492095,953571.8447916056,5255,0.3090384900569916,0.02323964796960354,31882.409946143627
2023-03-03,8,519166.7447973639,6340853.2391828075,424289.47073459486,4981550.678821713,110576.2487752868,1205494.8295401554,574364.8361144677,3516,0.3823702335357666,0.032585982233285904,19588.13808169961
2023-03-04,8,234248.90100562572,2825169.8623116463,186974.87769843696,2225940.647773258,43912.86345454026,515351.9997529796,251001.41765027668,3513,0.4352523982524872,0.03815785422921181,13522.338725626469
2023-03-05,8,260114.20734483004,2252106.310861036,210027.85312441946,1726050.6470070076,53007.95373654136,410959.10884323035,222261.12036079622,2946,0.3448183536529541,0.030699534341692924,23803.7855951488
2023-03-06,8,240250.73978698254,724290.487225078,187623.33912228813,594751.7133979476,54574.37317482292,159900.38896805848,79620.9993020422,2033,0.42167675495147705,0.030740952119231224,19578.674808084965
2023-03-07,8,210314.95730888844,757238.4984681606,185418.03150414326,630079.1484603994,48186.54728642856,166556.45781640688,81474.63031076957,2117,0.4112417995929718,0.03026130609214306,12061.688588678837
2023-03-08,8,387801.32409721613,701498.7983348072,317416.0076052462,575934.8580336602,91774.44397032456,164122.52350288106,83141.73095448333,2566,0.4836445748806,0.034333836287260056,16662.823157429695
2023-03-09,8,2283984.836962536,5861018.679894045,1938012.0831424224,4983581.825095843,416142.08010389865,1077689.4074838834,509691.504099235,2847,0.3421211540699005,0.025370290502905846,37509.05973157287
2023-03-10,8,17462.115371584892,80734.1350017488,14839.73884657086,70569.32426282307,5655.183718666913,28084.48871616328,13295.831186443931,1156,0.3854978084564209,0.02724679745733738,7102.246748507023
2023-03-11,8,61552.10565626621,219572.3400131166,52099.557207224505,186283.51197697344,14827.507652618595,53572.471084316625,23608.626441073557,1924,0.4093022644519806,0.027878373861312866,8795.35188499093
2023-03-12,8,1451305.876418382,3382222.050339669,1079059.1244188177,2638745.964834894,253219.6349023246,618614.2467338985,352508.56681988854,2421,0.269152969121933,0.019698647782206535,21360.26000648737
2023-03-13,8,156397.90801623464,2184025.3094871715,135989.29790098232,1878505.9382091425,46872.96566539372,426989.0766053672,196197.95074976375,2721,0.2637966573238373,0.012364623136818409,12800.228255301714
2023-03-14,8,202652.6299185604,3173863.5183428526,186729.32647876604,3061398.6431582235,39887.021928086695,575329.7314978433,258311.86993084807,2367,0.2788788378238678,0.02829251065850258,28806.443121135235
2023-03-15,8,5693471.371656597,14748789.766127586,5729820.696883038,12781765.487951733,957842.8267893225,2454010.244983531,1097585.9887241041,3777,0.35213324427604675,0.026759615167975426,29434.656613588333
2023-03-16,8,1286057.435968861,4143787.6575701907,1021793.9824968863,3292753.1510418225,251945.5271561481,814501.5070306999,426399.4645510177,4317,0.328470915555954,0.024627966806292534,18284.278210550547
