fire_id,ignite_h,end_h,hours,damagearea,source,n_cells,coord_src,loc
3871,2024-03-19 18:00:00,2024-03-19 22:00:00,5,0.2,point,1,sgis_recovered,전남 강진 성전
3872,2024-03-19 17:00:00,2024-03-19 19:00:00,3,0.05,point,1,original,전북 남원 산내
3873,2024-03-19 16:00:00,2024-03-19 17:00:00,2,0.05,point,1,original,경기 화성 양감
3874,2024-03-19 14:00:00,2024-03-19 15:00:00,2,0.05,point,1,original,경기 성남 수정
3875,2024-03-18 16:00:00,2024-03-18 18:00:00,3,0.08,point,1,sgis_recovered,인천 서 nan
3876,2024-03-18 15:00:00,2024-03-19 01:00:00,11,2.0,point,1,original,경기 광주 초월
3877,2024-03-18 15:00:00,2024-03-18 17:00:00,3,0.39,point,1,sgis_recovered,경기 양평 양동
3878,2024-03-18 14:00:00,2024-03-18 15:00:00,2,0.1,point,1,original,경남 거창 웅양
3879,2024-03-18 14:00:00,2024-03-18 16:00:00,3,0.15,point,1,original,전북 순창 인계
3880,2024-03-18 11:00:00,2024-03-18 11:00:00,1,0.03,point,1,original,전북 전주 완산 nan
3881,2024-03-17 19:00:00,2024-03-17 21:00:00,3,0.01,point,1,original,대구 군위 부계
3882,2024-03-17 15:00:00,2024-03-17 18:00:00,4,0.5,point,1,original,경기 포천 영중
3883,2024-03-17 14:00:00,2024-03-17 17:00:00,4,0.15,point,1,sgis_recovered,전북 군산 옥도
3884,2024-03-17 13:00:00,2024-03-17 18:00:00,6,2.5,point,1,original,전남 순천 별량
3885,2024-03-17 10:00:00,2024-03-17 12:00:00,3,0.1,point,1,original,경기 동두천 nan
